Accuracy,Kappa,layer1,layer2,layer3,Resample
0.5443349753694581,0.06376985017326053,1,0,0,Training1000
0.5270935960591133,0.017568623497088993,2,0,0,Training1000
0.5270935960591133,0.06865158068293156,3,0,0,Training1000
0.5197044334975369,8.077340535628543e-4,4,0,0,Training1000
0.5566502463054187,0.08925500361406752,5,0,0,Training1000
0.5369458128078818,0.08735681660568674,1,0,0,Training1001
0.5492610837438424,0.0948319972710218,2,0,0,Training1001
0.5591133004926109,0.10307802433786693,3,0,0,Training1001
0.5738916256157636,0.15157152175488608,4,0,0,Training1001
0.5517241379310345,0.11377101873395856,5,0,0,Training1001
0.5073891625615764,0.04340040525894171,1,0,0,Training1002
0.5467980295566502,0.06268506900878296,2,0,0,Training1002
0.5443349753694581,0.05223974763406932,3,0,0,Training1002
0.5172413793103449,-0.00984771573604072,4,0,0,Training1002
0.5591133004926109,0.10214721652541324,5,0,0,Training1002
0.5246305418719212,0,1,0,0,Training1003
0.5541871921182266,0.07817556888030323,2,0,0,Training1003
0.5246305418719212,0.0015290909554269794,3,0,0,Training1003
0.5517241379310345,0.0634490101143249,4,0,0,Training1003
0.5541871921182266,0.0873345090538762,5,0,0,Training1003
0.5566502463054187,0.0786222199808362,1,0,0,Training1004
0.5591133004926109,0.07991289595624557,2,0,0,Training1004
0.5344827586206896,0.02142474558114619,3,0,0,Training1004
0.5295566502463054,0.006610130409161749,4,0,0,Training1004
0.5492610837438424,0.08434596140100069,5,0,0,Training1004
0.5640394088669951,0.10071330246527355,1,0,0,Training1005
0.5246305418719212,-0.00492471849590883,2,0,0,Training1005
0.5591133004926109,0.10726482077488157,3,0,0,Training1005
0.5615763546798029,0.08936491935483863,4,0,0,Training1005
0.5295566502463054,0.007169743681663291,5,0,0,Training1005
0.5566502463054187,0.10925844668714335,1,0,0,Training1006
0.5665024630541872,0.10258213603938499,2,0,0,Training1006
0.5517241379310345,0.11408977556109726,3,0,0,Training1006
0.5270935960591133,0.0011276268580215135,4,0,0,Training1006
0.5541871921182266,0.07632167726689959,5,0,0,Training1006
0.5492610837438424,0.11082122597477218,1,0,0,Training1007
0.5369458128078818,0.030607838654779278,2,0,0,Training1007
0.5615763546798029,0.09140285146722317,3,0,0,Training1007
0.5665024630541872,0.11011482228698104,4,0,0,Training1007
0.5197044334975369,-0.0098471899793362,5,0,0,Training1007
0.5098522167487685,0.04270243370695989,1,0,0,Training1008
0.5517241379310345,0.10170439349364196,2,0,0,Training1008
0.5344827586206896,0.025698976611899654,3,0,0,Training1008
0.5665024630541872,0.14051336332363062,4,0,0,Training1008
0.5591133004926109,0.08514816586520324,5,0,0,Training1008
0.5566502463054187,0.08026882126406401,1,0,0,Training1009
0.5221674876847291,-0.0044122522890150465,2,0,0,Training1009
0.5295566502463054,0.011875939753816324,3,0,0,Training1009
0.5665024630541872,0.1065543024331692,4,0,0,Training1009
0.5246305418719212,0.0010199138172824267,5,0,0,Training1009
